"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"21","Johnson Creek Weir",1998,"Chinook","McCall Fish Hatchery",NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Johnson Creek Weir",1998,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Johnson Creek Weir",1998,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,11,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"24","Johnson Creek Weir",2000,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Johnson Creek Weir",2000,"Chinook","McCall Fish Hatchery",NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Johnson Creek Weir",2000,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,78,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"27","Johnson Creek Weir",2000,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Johnson Creek Weir",2001,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Johnson Creek Weir",2001,"Chinook","McCall Fish Hatchery",NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA
"30","Johnson Creek Weir",2001,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,1335,7,NA,NA,NA,10,NA,NA,NA,7,0,10,17
"31","Johnson Creek Weir",2001,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
"32","Johnson Creek Weir",2001,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,0,7,0,7
"33","Johnson Creek Weir",2002,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Johnson Creek Weir",2002,"Chinook","McCall Fish Hatchery",NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Johnson Creek Weir",2002,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,1085,9,NA,NA,NA,1,NA,NA,NA,9,0,1,10
"36","Johnson Creek Weir",2002,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Johnson Creek Weir",2002,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Johnson Creek Weir",2002,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2
"39","Johnson Creek Weir",2003,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Johnson Creek Weir",2003,"Chinook","McCall Fish Hatchery",NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Johnson Creek Weir",2003,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,693,1,NA,NA,NA,12,NA,NA,NA,1,0,12,13
"42","Johnson Creek Weir",2003,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"43","Johnson Creek Weir",2003,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
